"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.166151292E0,1.037442237E0,2.160392402E0,-9.144378698E-1
3.176114292E0,1.507782032E0,2.141052736E0,-8.055820101E-1
3.186078292E0,1.479362956E0,1.985712681E0,-5.888988161E-1
3.196042292E0,1.615697659E0,2.381179172E0,-1.393087435E0
3.206006292E0,1.935611399E0,2.658334270E0,-1.955444570E0
3.215970292E0,1.799302862E0,2.540885342E0,-2.082487609E0
3.225934292E0,1.308156043E0,2.096481165E0,-2.580145302E0
3.235898292E0,7.091576234E-1,1.443373489E0,-2.956041747E0
3.245861292E0,-2.087797319E-1,6.817344743E-1,-3.244207152E0
3.255825292E0,-1.438234372E0,-4.548379487E-1,-3.047407415E0
3.265789292E0,-2.130155134E0,-1.490158231E0,-2.428308315E0
3.275753292E0,-2.033984370E0,-2.105475352E0,-1.408890705E0
3.285717292E0,-1.465566304E0,-2.284432896E0,-5.258079439E-1
3.295681292E0,-7.184200515E-1,-2.233773789E0,-6.730671465E-2
3.305645292E0,6.213302515E-2,-1.897292840E0,-3.595324266E-1
3.315608292E0,8.245076931E-1,-1.496435217E0,-4.206516176E-1
3.325572292E0,1.320419262E0,-1.183346640E0,-3.349010307E-1
3.335536292E0,1.568564423E0,-1.113418034E0,-2.998919964E-1
3.345500292E0,1.261561335E0,-1.355975742E0,-3.103175819E-1
3.355463667E0,4.203151104E-1,-1.679315658E0,-9.441440642E-2
3.365427667E0,-5.913333043E-2,-1.871552228E0,-1.608721054E-1
3.375391667E0,-3.966825651E-1,-1.700144024E0,-5.403411984E-2
3.385355667E0,-4.032662375E-1,-1.609364247E0,-2.239775956E-2
3.395318667E0,-2.538200301E-1,-1.617383119E0,1.789481878E-1
3.405282667E0,-1.680273432E-1,-1.809279966E0,4.643531227E-1
3.415246667E0,3.498564541E-2,-2.010639946E0,2.746618456E-1
3.425210667E0,5.363760553E-1,-2.081091878E0,4.289868236E-2
3.435174667E0,1.186213384E0,-2.157646549E0,-7.641199887E-2
3.445138667E0,1.782568715E0,-1.966997498E0,-5.101461768E-2
3.455102667E0,2.062768020E0,-1.645949106E0,4.012885630E-2
3.465065667E0,2.092704449E0,-1.593975545E0,3.804677975E-1
3.475029667E0,1.495670840E0,-1.790980520E0,8.381632805E-1
3.484993667E0,7.288690259E-1,-2.032326685E0,5.760711944E-1
3.494957667E0,9.141098410E-2,-2.202654322E0,4.712306178E-1
3.504921667E0,-7.928882897E-2,-2.010676199E0,3.869272166E-1
3.514885667E0,1.337293303E-1,-1.346546522E0,3.436642528E-1
3.524849667E0,5.060535644E-1,-7.464970654E-1,7.774750292E-2
3.534812667E0,6.583406416E-1,-5.580120689E-1,1.911261839E-1
3.544776667E0,6.888860576E-1,-6.229676181E-1,7.802635664E-1
3.554740667E0,8.443586978E-1,-7.810336447E-1,7.998570013E-1
3.564704667E0,7.602945940E-1,-1.008473377E0,7.086556399E-1
3.574668667E0,7.290266083E-1,-1.296307245E0,6.316998500E-1
3.584632667E0,6.867070927E-1,-1.349268985E0,4.581591672E-1
3.594595667E0,1.066347363E0,-6.324833769E-1,-5.334116632E-1
3.604559667E0,1.354134892E0,1.066444427E-1,-1.509089761E0
3.614523667E0,1.287037946E0,1.259244668E-1,-8.345362526E-1
3.624487667E0,1.182878424E0,-1.960355061E-1,-6.284452897E-1
3.634451667E0,9.191546725E-1,-3.907869637E-2,-6.058703595E-1
3.644415667E0,9.616205147E-1,1.140598816E-1,-5.713729566E-1
3.654379667E0,6.675181389E-1,2.981740844E-1,-1.232651532E-1
3.664342667E0,4.272423068E-1,6.542765343E-1,3.817758197E-1
3.674306667E0,7.171782491E-1,8.965296024E-1,8.699797350E-1
3.684270667E0,7.264069095E-1,8.738669640E-1,1.265355594E0
3.694234667E0,5.830279192E-1,9.179152089E-1,1.311736293E0
3.704198667E0,3.128295457E-1,1.114799731E0,1.118893366E0
3.714162667E0,4.596554697E-2,1.438233787E0,3.313003153E-1
3.724126667E0,4.256539106E-2,1.701215234E0,-6.198656702E-1
3.734089667E0,7.015287611E-1,2.184423289E0,-1.396341995E0
3.744053667E0,1.752452923E0,2.648294016E0,-1.563430860E0
3.754017667E0,2.567001931E0,3.077166234E0,-1.210968302E0
3.763981667E0,2.880092555E0,3.569413499E0,-7.897854647E-1
3.773945667E0,2.703051437E0,3.839337931E0,-5.031979305E-1
3.783909667E0,1.463426223E0,3.511543606E0,-7.144402903E-1
3.793873667E0,-1.188490435E-1,3.064909301E0,-6.067953891E-1
3.803836667E0,-1.586817676E0,2.601348476E0,-5.072067815E-1
3.813800667E0,-2.455743158E0,1.950583779E0,-1.191539758E-1
3.823764667E0,-2.445300323E0,1.377181254E0,2.430903894E-1
3.833728667E0,-2.009953483E0,1.053719716E0,3.127090931E-1
3.843692667E0,-1.525485939E0,1.222836396E0,-5.391255623E-1
3.853656667E0,-1.237376374E0,1.361884938E0,-1.219658726E0
3.863620667E0,-1.461108387E0,9.361257774E-1,-1.831394720E0
3.873583667E0,-2.128694353E0,2.983886772E-1,-2.407583444E0
3.883547667E0,-2.808534330E0,-1.278552175E-2,-2.097557053E0
3.893511667E0,-3.042753616E0,-3.118817121E-1,-1.693231446E0
